Date,SampleID,TubeNumber,Input_ng,Plate,Row,Column,VolFromSonicatorSample_uL,SequencingPool,Capture,AdapterID,AdapterConcentration,PostLigElutionVol_uL,PostLigQVol_uL,PostLigQuant_ng_uL,PostLigTotal_ng,VolForPCR,PCRInput_ng,PCRPlate,PCRRow,PCRColumn,ForwardPrimerID,ReversePrimerID,PCRCycles,ElutionBuffer,ElutionVol_uL,Vol_Bioanalyzer,Vol_Qubit,FinalConcentrationAfterPCR1Wrong_ng_uL,TotalDNAWrong_ng,SecondPCRCycles,SecondElutionBuffer,SecondElutionVol_uL,SecondVolQubit_uL,SecondQuant_ng_uL,SecondTotalDNA_ng,,,,,,,
,APPC16.11,1,10,1,A,1,25,A,Pop01,Y1,300 nM,60,1,0.16,9.44,10,1.6,1,A,1,L1,701,12,pH20,30,,1,0.164,4.756,6,pH20,40,1,0.47,18.33,,,,,,,
,APPC19.17,2,10,1,B,1,25,A,Pop01,Y2,300 nM,60,1,0.0005,0.0295,20,0.01,1,B,1,L1,701,12,pH20,30,,1,0.342,9.918,6,pH20,40,1,3.18,124.02,,,,,,,
,APPC19.21,3,10,1,C,1,25,A,Pop01,Y3,300 nM,60,1,0.0005,0.0295,20,0.01,1,C,1,L1,701,12,pH20,30,,1,0.246,7.134,6,pH20,40,1,1.24,48.36,,,,,,,
,APPC20.29,4,10,1,D,1,25,A,Pop01,Y4,300 nM,60,1,0.0005,0.0295,20,0.01,1,D,1,L1,701,12,pH20,30,,1,0.424,12.296,6,pH20,40,1,0.786,30.654,,,,,,,
,APPC20.30,5,10,1,E,1,25,A,Pop01,Y5,300 nM,60,1,0.13,7.67,10,1.3,1,E,1,L1,701,12,pH20,30,,1,0.222,6.438,6,pH20,40,1,0.416,16.224,,,,,,,
,APPC21.01,6,10,1,F,1,25,A,Pop01,Y6,300 nM,60,1,0.0005,0.0295,20,0.01,1,F,1,L1,701,12,pH20,30,,1,0.578,16.762,6,pH20,40,1,1.35,52.65,,,,,,,
,APPC22.15,7,10,1,G,1,25,A,Pop01,Y7,300 nM,60,1,0.0005,0.0295,20,0.01,1,G,1,L1,701,12,pH20,30,,1,0.74,21.46,6,pH20,40,1,0.786,30.654,,,,,,,
,APPC25.17,8,10,1,H,1,25,A,Pop01,Y8,300 nM,60,1,0.0005,0.0295,20,0.01,1,H,1,L1,701,12,pH20,30,,1,0.75,21.75,6,pH20,40,1,1.69,65.91,,,,,,,
,APPC28.17,9,10,1,A,2,25,A,Pop01,Y9,300 nM,60,1,0.0005,0.0295,20,0.01,1,A,2,L1,701,12,pH20,30,,1,0.354,10.266,6,pH20,40,1,0.994,38.766,,,,,,,
,APPC29.07,10,10,1,B,2,25,A,Pop01,Y10,300 nM,60,1,0.0005,0.0295,20,0.01,1,B,2,L1,701,12,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,0.592,23.088,,,,,,,
,APPC30.10,11,10,1,A,3,25,A,Pop02,Y1,300 nM,60,1,6.2,365.8,1,6.2,3,H,6,L2,702,8,pH20,30,,1,7.24,209.96,6,pH20,40,1,1.22,47.58,,,,10,pH2O,40 uL,1
,APPC30.12,12,10,1,B,3,25,A,Pop02,Y2,300 nM,60,1,0.0005,0.0295,20,0.01,1,D,2,L2,702,12,pH20,30,,1,0.102,2.958,6,pH20,40,1,0.188,7.332,,,,,,,
,APPC31.07,13,10,1,C,3,25,A,Pop02,Y3,300 nM,60,1,0.0005,0.0295,20,0.01,1,E,2,L2,702,12,pH20,30,,1,0.164,4.756,6,pH20,40,1,0.67,26.13,,,,,,,
,APPC32.26,14,10,1,D,3,25,A,Pop02,Y4,300 nM,60,1,0.0005,0.0295,20,0.01,1,F,2,L2,702,12,pH20,30,,1,0.162,4.698,6,pH20,40,1,1.98,77.22,,,,,,,
,APPC37.18,15,10,1,E,3,25,A,Pop02,Y5,300 nM,60,1,0.0005,0.0295,20,0.01,1,G,2,L2,702,12,pH20,30,,1,0.136,3.944,6,pH20,40,1,1.37,53.43,,,,,,,
,APPC40.06,16,10,1,F,3,25,A,Pop02,Y6,300 nM,60,1,0.0005,0.0295,20,0.01,1,H,2,L2,702,12,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,0.47,18.33,,,,,,,
,APPC10.10,17,100,1,G,3,25,A,Pop02,Y7,15uM,60,1,0.476,28.084,20,9.52,2,A,1,L2,702,8,pH20,30,,1,3.4,98.6,6,pH20,40,1,8.78,342.42,,,,,,,
,APPC10.15,18,100,1,H,3,25,A,Pop02,Y8,15uM,60,1,0.586,34.574,20,11.72,2,B,1,L2,702,8,pH20,30,,1,0.222,6.438,6,pH20,40,1,0.982,38.298,,,,,,,
,APPC10.06,19,100,1,A,4,25,A,Pop02,Y9,15uM,60,1,0.214,12.626,20,4.28,2,C,1,L2,702,8,pH20,30,,1,0.18,5.22,6,pH20,40,1,1.73,67.47,,,,,,,
