og_larvalID,larvalID,Ucrit,SL,dam,sire,tank,date,Send.to.NJ,Group
5.06,05.06,8.17,4.34,119,162,C2:4,5/28/19,1,High
5.08,05.08,1.1,NA,119,162,C2:4,5/28/19,1,Low
5.15,05.15,2.27,4.32,119,162,C2:4,5/28/19,1,Low
5.23,05.23,8.33,4.32,119,162,C2:4,5/28/19,1,High
6.01,06.01,2.57,4.24,32,101,D1:3,5/29/19,1,Low
6.07,06.07,2.38,3.94,32,101,D1:3,5/29/19,1,Low
6.12,06.12,6.17,4.11,32,101,D1:3,5/29/19,1,High
6.15,06.15,5.8,4.09,32,101,D1:3,5/29/19,1,High
7.04,07.04,1.97,4.13,33,202,B1:5,3-Jun-19,1,Low
7.06,07.06,3.78,4.19,33,202,B1:5,3-Jun-19,1,High
7.07,07.07,2.4,NA,33,202,B1:5,3-Jun-19,1,Low
7.10,07.10,6.32,4.31,33,202,B1:5,3-Jun-19,1,High
8.12,08.12,0.6,4.56,13,165,B3:3,6/4/19,1,Low
8.15,08.15,8,4.52,13,165,B3:3,6/4/19,1,High
8.17,08.17,0.57,4.19,13,165,B3:3,6/4/19,1,Low
8.21,08.21,7.48,4.42,13,165,B3:3,6/4/19,1,High
9.01,09.01,2.93,4.28,26,142,D3:1,6/7/19,1,Low
9.04,09.04,8.52,3.92,26,142,D3:1,6/7/19,1,High
9.09,09.09,8.33,NA,26,142,D3:1,6/7/19,1,High
9.14,09.14,2.13,4.55,26,142,D3:1,6/7/19,1,Low
10.06,10.06,2,4.13,55,129,D2:4,6/7/19,1,Low
10.08,10.08,6.07,4.34,55,129,D2:4,6/7/19,1,High
10.12,10.12,6.22,NA,55,129,D2:4,6/7/19,1,High
10.15,10.15,1.92,4.25,55,129,D2:4,6/7/19,1,Low
11.1,11.10,6.5,4.27,9,2,A3:5,6/10/19,1,High
11.16,11.16,0.9,4.33,9,2,A3:5,6/10/19,1,Low
11.19,11.19,1.28,4.33,9,2,A3:5,6/10/19,1,Low
11.27,11.27,6.57,4.37,9,2,A3:5,6/10/19,1,High
12.18,12.18,0.42,4.25,114,38,B2:3,6/11/19,1,Low
12.19,12.19,1,4.27,114,38,B2:3,6/11/19,1,Low
12.22,12.22,9.22,4.01,114,38,B2:3,6/11/19,1,High
12.24,12.24,8.68,4.19,114,38,B2:3,6/11/19,1,High
13.08,13.08,0.27,4.11,22,103,B3:1,6/12/19,1,Low
13.18,13.18,0.3,4.23,22,103,B3:1,6/12/19,1,Low
13.25,13.25,5.65,4.11,22,103,B3:1,6/12/19,1,High
13.29,13.29,5.5,4.05,22,103,B3:1,6/12/19,1,High
14.09,14.09,6.75,4.21,78,95,D3:5,6/13/19,1,High
14.23,14.23,0.58,4.41,78,95,D3:5,6/13/19,1,Low
14.26,14.26,7.17,4.02,78,95,D3:5,6/13/19,1,High
14.29,14.29,0.5,NA,78,95,D3:5,6/13/19,1,Low
15.02,15.02,2.25,4.35,10,156,B2:5,6/17/19,1,Low
15.17,15.17,0.88,4.36,10,156,B2:5,6/17/19,1,Low
15.21,15.21,7.67,4.27,10,156,B2:5,6/17/19,1,High
15.22,15.22,8.68,4.46,10,156,B2:5,6/17/19,1,High
16.11,16.11,8.13,4.4,125,144,C1:4,6/19/19,1,High
16.14,16.14,0.98,4.44,125,144,C1:4,6/19/19,1,Low
16.15,16.15,1.47,4.38,125,144,C1:4,6/19/19,1,Low
16.25,16.25,7.37,4.44,125,144,C1:4,6/19/19,1,High
17.09,17.09,1.95,4.1,17,80,C1:2,6/21/19,1,Low
17.1,17.10,2.17,4.3,17,80,C1:2,6/21/19,1,Low
17.18,17.18,6.97,4.19,17,80,C1:2,6/21/19,1,High
17.2,17.20,6.88,4.25,17,80,C1:2,6/21/19,1,High
18.15,18.15,1.03,4.09,59,115,B3:4,6/26/19,1,Low
18.2,18.20,6.52,4.26,59,115,B3:4,6/26/19,1,High
18.27,18.27,6.5,4.25,59,115,B3:4,6/26/19,1,High
18.28,18.28,1.38,3.98,59,115,B3:4,6/26/19,1,Low
19.15,19.15,0.62,4.25,85,173,C2:2,6/27/19,1,Low
19.16,19.16,7.33,4.23,85,173,C2:2,6/27/19,1,High
19.17,19.17,1.2,4.35,85,173,C2:2,6/27/19,1,Low
19.21,19.21,7.33,4.28,85,173,C2:2,6/27/19,1,High
20.22,20.22,0.73,4.04,70,98,A3:1,6/28/19,1,Low
20.28,20.28,0.73,4.3,70,98,A3:1,6/28/19,1,Low
20.29,20.29,8.82,4.25,70,98,A3:1,6/28/19,1,High
20.3,20.30,7.32,4.54,70,98,A3:1,6/28/19,1,High
21.01,21.01,5.07,3.94,269,94,D1:2,7/1/19,1,High
21.08,21.08,0.4,NA,269,94,D1:2,7/1/19,1,Low
21.23,21.23,0.42,4.13,269,94,D1:2,7/1/19,1,Low
21.25,21.25,5.23,4.12,269,94,D1:2,7/1/19,1,High
22.01,22.01,2.08,4.31,19,175,A1:4,7/2/19,1,Low
22.09,22.09,2.15,4.09,19,175,A1:4,7/2/19,1,Low
22.12,22.12,6.7,4.3,19,175,A1:4,7/2/19,1,High
22.15,22.15,6.33,4.29,19,175,A1:4,7/2/19,1,High
23.04,23.04,0.13,4.37,74,116,C1:3,7/3/19,1,Low
23.08,23.08,5.97,4.34,74,116,C1:3,7/3/19,1,High
23.23,23.23,5.47,4.27,74,116,C1:3,7/3/19,1,High
